scenario,rauschform,rauschstufe_prozent,vorverarbeitung,wiederholung,wiederholungs_seed,intercluster_margin_threshold,intercluster_removed_points,intercluster_removed_base_points,intercluster_removed_artificial_points,aktuelle_anzahl_beobachtungen_nach_vorverarbeitung
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,1,101,0.7371627120369154,101,11,90,999
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,2,102,0.7371627120369154,97,10,87,1003
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,3,103,0.7371627120369154,103,11,92,997
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,4,104,0.7371627120369154,102,10,92,998
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,5,105,0.7371627120369154,97,11,86,1003
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,6,106,0.7371627120369154,102,11,91,998
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,7,107,0.7371627120369154,105,10,95,995
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,8,108,0.7371627120369154,103,11,92,997
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,9,109,0.7371627120369154,97,11,86,1003
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,10,110,0.7371627120369154,98,11,87,1002
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,11,111,0.7371627120369154,105,11,94,995
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,12,112,0.7371627120369154,101,10,91,999
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,13,113,0.7371627120369154,104,11,93,996
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,14,114,0.7371627120369154,104,10,94,996
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,15,115,0.7371627120369154,103,12,91,997
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,16,116,0.7371627120369154,106,11,95,994
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,17,117,0.7371627120369154,100,11,89,1000
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,18,118,0.7371627120369154,105,12,93,995
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,19,119,0.7371627120369154,101,10,91,999
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,20,120,0.7371627120369154,98,10,88,1002
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,1,101,0.7371627120369154,188,16,172,1012
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,2,102,0.7371627120369154,187,15,172,1013
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,3,103,0.7371627120369154,188,16,172,1012
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,4,104,0.7371627120369154,198,14,184,1002
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,5,105,0.7371627120369154,195,16,179,1005
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,6,106,0.7371627120369154,200,15,185,1000
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,7,107,0.7371627120369154,195,16,179,1005
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,8,108,0.7371627120369154,200,17,183,1000
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,9,109,0.7371627120369154,190,15,175,1010
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,10,110,0.7371627120369154,191,16,175,1009
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,11,111,0.7371627120369154,200,15,185,1000
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,12,112,0.7371627120369154,199,16,183,1001
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,13,113,0.7371627120369154,195,15,180,1005
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,14,114,0.7371627120369154,191,16,175,1009
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,15,115,0.7371627120369154,199,16,183,1001
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,16,116,0.7371627120369154,197,17,180,1003
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,17,117,0.7371627120369154,199,16,183,1001
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,18,118,0.7371627120369154,192,15,177,1008
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,19,119,0.7371627120369154,200,14,186,1000
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,20,120,0.7371627120369154,196,16,180,1004
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,1,101,0.7371627120369154,293,22,271,1007
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,2,102,0.7371627120369154,280,20,260,1020
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,3,103,0.7371627120369154,276,20,256,1024
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,4,104,0.7371627120369154,283,20,263,1017
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,5,105,0.7371627120369154,293,21,272,1007
