scenario,rauschform,rauschstufe_prozent,vorverarbeitung,verfahren,mittlerer_paarweiser_ari,std_paarweiser_ari,anzahl_vergleiche
ohne_rauschen,none,0,False,kmeans,1.0,0.0,190
ohne_rauschen,none,0,False,hierarchisch,1.0,0.0,190
ohne_rauschen,none,0,False,dbscan,1.0,0.0,190
ohne_rauschen,none,0,False,rtkm,1.0,0.0,190
mit_rauschen,ausreisser,10,False,kmeans,1.0,0.0,190
mit_rauschen,ausreisser,10,False,hierarchisch,1.0,0.0,190
mit_rauschen,ausreisser,10,False,dbscan,1.0,0.0,190
mit_rauschen,ausreisser,10,False,rtkm,0.9444470093360828,0.16665897199175164,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,dbscan,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,rtkm,0.7943780248768696,0.24955226876986233,190
mit_rauschen,zwischencluster_ausreisser,10,False,kmeans,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,10,False,hierarchisch,0.9985331047235279,0.0028610072844664127,190
mit_rauschen,zwischencluster_ausreisser,10,False,dbscan,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,10,False,rtkm,0.9243060505584937,0.030725024782744217,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,kmeans,0.9980738034159539,0.0013943681898594207,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,hierarchisch,0.9980738034159539,0.0013943681898594207,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,dbscan,0.9980738034159539,0.0013943681898594207,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,10,True,rtkm,0.878789105736413,0.1557991587490059,190
mit_rauschen,irrelevante_merkmale,10,False,kmeans,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,10,False,hierarchisch,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,10,False,dbscan,0.9998502254152613,0.0004493237542160466,190
mit_rauschen,irrelevante_merkmale,10,False,rtkm,0.8945012189985122,0.21686309279082622,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,10,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,10,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,10,True,dbscan,0.9941696037936311,0.0034991751410694085,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,10,True,rtkm,0.894026258516179,0.21784068001506818,190
mit_rauschen,ausreisser,20,False,kmeans,1.0,0.0,190
mit_rauschen,ausreisser,20,False,hierarchisch,1.0,0.0,190
mit_rauschen,ausreisser,20,False,dbscan,1.0,0.0,190
mit_rauschen,ausreisser,20,False,rtkm,0.9443805278345649,0.16685841649630517,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,dbscan,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,rtkm,0.6803826739758317,0.24027917408908617,190
mit_rauschen,zwischencluster_ausreisser,20,False,kmeans,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,20,False,hierarchisch,0.997489430855654,0.0028354801421347038,190
mit_rauschen,zwischencluster_ausreisser,20,False,dbscan,0.7941492446845276,0.21462379140170013,190
mit_rauschen,zwischencluster_ausreisser,20,False,rtkm,0.8614617246286572,0.04575068004479767,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,kmeans,0.9980449534557021,0.001327847707122501,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,hierarchisch,0.9980449534557021,0.001327847707122501,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,dbscan,0.9980449534557021,0.001327847707122501,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,20,True,rtkm,0.7724081375648396,0.17957806626019096,190
mit_rauschen,irrelevante_merkmale,20,False,kmeans,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,hierarchisch,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,dbscan,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,rtkm,0.9443947759705117,0.1668156720884652,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,20,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,20,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,20,True,dbscan,0.9619448879322168,0.009731053957258866,190
